ari,rmse_3f,rmse_all
0.9212044311982277,0.035075477734811122,0.017754228858801811
0.9212044311982277,0.035075477734811115,0.017754228858801804
0.9212044311982277,0.035075477734811115,0.017754228858801801
0.9212044311982277,0.035075477734811115,0.017754228858801797
0.9212044311982277,0.035075477734811115,0.017754228858801794
0.9212044311982277,0.035075477734811129,0.01775422885880179
0.9212044311982277,0.035075477734811129,0.017754228858801808
0.9212044311982277,0.035075477734811122,0.01775422885880179
0.9212044311982277,0.035075477734811136,0.017754228858801797
0.9212044311982277,0.035075477734811136,0.017754228858801784
0.9212044311982277,0.035075477734811129,0.017754228858801794
0.9212044311982277,0.035075477734811129,0.017754228858801808
0.9212044311982277,0.035075477734811122,0.017754228858801804
0.9212044311982277,0.035075477734811136,0.017754228858801794
0.9212044311982277,0.035075477734811129,0.01775422885880179
0.9212044311982277,0.035075477734811136,0.01775422885880179
0.9212044311982277,0.035075477734811143,0.017754228858801784
0.9212044311982277,0.035075477734811136,0.01775422885880178
0.9212044311982277,0.035075477734811143,0.017754228858801787
0.9212044311982277,0.035075477734811109,0.01775422885880179
0.9212044311982277,0.035075477734811129,0.017754228858801794
0.9212044311982277,0.035075477734811136,0.017754228858801797
0.9212044311982277,0.035075477734811136,0.017754228858801794
0.9212044311982277,0.035075477734811122,0.017754228858801804
0.9212044311982277,0.035075477734811136,0.017754228858801801
0.9212044311982277,0.035075477734811115,0.01775422885880179
0.9212044311982277,0.035075477734811143,0.017754228858801808
0.9212044311982277,0.035075477734811136,0.017754228858801804
0.9212044311982277,0.035075477734811136,0.017754228858801811
