ari,rmse_3f,rmse_all
0.045737470883936523,0.048526081668198807,0.056624768486402688
0.045737470883936523,0.048526081594451147,0.056624768454838638
0.91622659130875883,0.048526081597082681,0.048213862640787537
0.91622659130875883,0.048526081667537503,0.048213862713742846
0.91622659130875883,0.048526081665147776,0.048213862722455161
0.91622659130875883,0.048526081676562166,0.048213862719943164
0.2837675995676186,0.048358311784271621,0.048213862715084842
0.066194146903158391,0.048526081679442765,0.055064825906687868
0.91622659130875883,0.048526081594635014,0.048213862714817993
0.91622659130875883,0.048526081671883221,0.048213862650000446
0.2837675995676186,0.048358311773578515,0.048213862728686871
0.2837675995676186,0.048358311770145539,0.048213862719476912
0.91622659130875883,0.048526081677204916,0.048213862713862535
0.92637531432103526,0.048358311760791438,0.048086352829945368
0.91622659130875883,0.048526081667011556,0.048213862731192776
0.91622659130875883,0.048526081666224734,0.048213862715179967
0.92637531432103526,0.04835831178946453,0.048086352820137339
0.91622659130875883,0.048526081671339871,0.048213862634870562
0.066194146903158391,0.048526081668984547,0.055064825890091013
0.91622659130875883,0.048526081676749162,0.048213862720342469
0.066194146903158391,0.048526081667135651,0.055064825892225958
0.91622659130875883,0.04852608167103345,0.048213862730117782
0.91622659130875883,0.048526081664793365,0.04821386272003049
0.2837675995676186,0.048358311779675749,0.048213862717139642
0.91622659130875883,0.048526081674937806,0.048213862717357475
0.92637531432103526,0.048358311766402297,0.04808635282159647
0.066194146903158391,0.048526081668229672,0.055064825893000824
0.91622659130875883,0.048526081670437697,0.048213862723470932
0.91622659130875883,0.048526081679915414,0.048213862730322521
