rmse_4f,ari,rmse_all
0.38533529871509586,0.9075913156106119,0.37879061692377747
0.44714364530045259,-0.0011972936657609499,0.39956792910583255
0.43603003260036338,0.0036117168836052867,0.39956792910582267
0.38533529871509881,0.9075913156106119,0.3787906169237813
0.38533529871509625,0.9075913156106119,0.37879061692376903
0.38533529871509498,0.9075913156106119,0.37879061692376093
0.43603003260036743,0.032696253423068783,0.4014552336057578
0.38533529871510264,0.9075913156106119,0.37879061692377697
0.38533529871509786,0.9075913156106119,0.37879061692377131
0.38533529871510841,0.9075913156106119,0.37879061692376187
0.38533529871510785,0.9075913156106119,0.37879061692377919
0.38533529871509803,0.044488226212338285,0.38733508343287021
0.38533529871510508,0.9075913156106119,0.37879061692376154
0.3853352987150982,-0.0011455793456546335,0.3995679291058214
0.38533529871509542,-0.0011455793456546335,0.39956792910581662
0.3853352987151008,-0.0011455793456546335,0.39956792910581879
0.38533529871509692,0.9075913156106119,0.37879061692377347
0.38533529871510325,0.9075913156106119,0.37879061692376303
0.38533529871510452,0.9075913156106119,0.37879061692377863
0.43603003260036682,0.00081671486064676031,0.38733508343288198
0.4360300326003711,0.0036117168836052867,0.39956792910582228
0.38533529871510658,0.9075913156106119,0.37879061692376204
0.43603003260037321,0.12193215388014651,0.37879061692377075
0.38533529871510075,0.9075913156106119,0.37879061692376242
0.38533529871509631,-0.0011455793456546335,0.39956792910582806
0.38533529871509831,0.9075913156106119,0.37879061692377086
0.4360300326003696,0.12193215388014651,0.37879061692377158
0.38533529871509969,0.9075913156106119,0.37879061692376892
0.4360300326003736,0.0078815594957739443,0.39031751160577355
