rmse_4f,ari,rmse_all
0.38045648169341922,0.95566981580903665,0.3787906169237632
0.38045648169341451,0.95566981580903665,0.37879061692376759
0.38045648169341895,0.95566981580903665,0.37879061692376792
0.38045648169341706,0.95566981580903665,0.37879061692376836
0.38045648169342333,0.95566981580903665,0.37879061692377669
0.40335322187473377,0.97524390460426258,0.40145523360574864
0.38045648169341612,0.95566981580903665,0.37879061692377181
0.38045648169342444,0.95566981580903665,0.37879061692376359
0.38045648169342067,0.95566981580903665,0.37879061692377913
0.38045648169342117,0.95566981580903665,0.37879061692377175
0.38045648169342416,0.95566981580903665,0.37879061692376226
0.38045648169341717,0.95566981580903665,0.37879061692376215
0.40335322187472994,0.97524390460426258,0.40145523360574742
0.38045648169342428,0.95566981580903665,0.37879061692377475
0.38802929447794055,0.025667184494625992,0.37879061692376492
0.38045648169342017,0.95566981580903665,0.3787906169237662
0.38045648169342289,0.95566981580903665,0.37879061692377941
0.38045648169341412,0.95566981580903665,0.3787906169237763
0.38045648169342255,0.95566981580903665,0.37879061692377225
0.38045648169341501,0.95566981580903665,0.3787906169237768
0.38045648169341389,0.95566981580903665,0.37879061692376748
0.38045648169341451,0.95566981580903665,0.37879061692377053
0.3804564816934326,0.95566981580903665,0.3787906169237743
0.40335322187472794,0.97524390460426258,0.40145523360576285
0.38045648169342222,0.95566981580903665,0.3787906169237798
0.38045648169342361,0.95566981580903665,0.37879061692376542
0.38045648169341467,0.95566981580903665,0.37879061692376836
0.38045648169343227,0.95566981580903665,0.37879061692377941
0.38045648169342849,0.95566981580903665,0.37879061692376303
