lambda,0,0.5,2,3,4,0.2,0.4,7,0.8,0.6,0.3,0.1,8,0.9,9,0.7,6,5
,-,,,,,,,,,,,,,,,,,
Model 1 parameters,-0.1120965904,-0.1059591174,-0.0909786863,-0.0840582158,-0.0766042755,-0.1096879044,-0.107225917,-0.0542917568,-0.1020164886,-0.1046654848,-0.1084672191,-0.1108952136,-0.0468369477,-0.1006867124,-0.0393604658,-0.1033482148,-0.0617265544,-0.0691412039
,-0.0480018637,-0.0397566433,-0.0088854742,-7.24217647526252E-008,-2.48738890781846E-009,-0.0449071848,-0.0415307782,-2.01656575799798E-008,-0.0341603294,-0.0379346037,-0.0432503689,-0.0464929413,-1.32684610495052E-007,-0.032206094,-7.12418244080463E-011,-0.0360688644,-3.19336155835847E-007,-1.34039394374281E-009
,-4.86798483007403E-009,-4.80596259077626E-009,-4.92219652636237E-009,-7.0445324347166E-010,-2.00864396070078E-010,-4.83553345474958E-009,-4.81284088161978E-009,-1.2861779505777E-010,-4.80622841331177E-009,-4.80251702213147E-009,-4.82279703453773E-009,-4.85079423677036E-009,-7.44806263891563E-009,-4.81289464347953E-009,-3.53122980177888E-010,-4.80264669077947E-009,-3.61254944695766E-009,-1.4301680159692E-010
,0.5206675586,0.5143800599,0.4926173065,0.4834574705,0.4745933672,0.5182589889,0.5157341971,0.4376946999,0.5098276008,0.5129447224,0.5170208378,0.5194686234,0.4240531394,0.5081756687,0.4103173536,0.5114243166,0.4512496169,0.4647223965
,-1.11057176381549E-008,-0.000000005,-2.63452283847401E-009,-1.31973887645334E-009,-3.20160047919476E-010,-7.6732634052295E-009,-5.67753166714646E-009,-1.54296892086874E-010,-3.7609775073087E-009,-4.49265336354793E-009,-6.54264634061939E-009,-9.15681588083084E-009,-3.10966512497753E-009,-3.50010974045113E-009,-9.38383191261387E-011,-4.08514066093045E-009,-2.7525729091253E-009,-2.09570571369852E-010
,0.1324371272,0.1143755201,0.0550977413,0.0287124057,0.0128324738,0.1254026493,0.1180882928,2.44617886467122E-009,0.1031683034,0.1106474659,0.1217705832,0.1289637478,6.56571849576945E-008,0.0994037449,1.57834429533961E-009,0.1069122045,1.97415719926108E-007,2.18254819531691E-006
,-,,,,,,,,,,,,,,,,,
model2 parameters,-0.1591781921,-0.1504629239,-0.1291905736,-0.1193634416,-0.1087787777,-0.1557578358,-0.152261791,-0.0770947953,-0.1448643546,-0.1486259537,-0.1540244514,-0.1574722259,-0.0665088976,-0.1429760602,-0.0558922245,-0.1467554181,-0.0876522765,-0.0981811472
,0.1320558783,0.1093728044,0.0244444489,1.9923642582358E-007,6.84294945476327E-009,0.1235422393,0.1142535513,5.54768798349632E-008,0.0939770241,0.104360269,0.1189842437,0.1279047463,0.000000365,0.0886008105,1.95990342305153E-010,0.0992275134,8.78512068054372E-007,3.68750056642619E-009
,-8.35942764088604E-009,-8.25292147054378E-009,-8.45252134767253E-009,-1.20970506703474E-009,-3.44929461202236E-010,-8.303701311955E-009,-8.26473304691601E-009,-2.2086575629271E-010,-8.25337794777788E-009,-8.24700465223532E-009,-8.28183000650081E-009,-8.32990751585645E-009,-1.27900030234595E-008,-8.26482536815203E-009,-6.06391783083308E-010,-8.24722732254307E-009,-6.2035619984679E-009,-2.45592097369421E-010
,-0.0162969322,-0.016100133,-0.0154189573,-0.0151322538,-0.0148548067,-0.0162215438,-0.0161425176,-0.0136998757,-0.0159576407,-0.0160552069,-0.0161827896,-0.0162594055,-0.0132728939,-0.0159059352,-0.0128429628,-0.0160076181,-0.0141241456,-0.0145458446
