ari,rmse_3f,rmse_all
1.0,0.050817423268723946,0.048086352832389052
1.0,0.050817423268723752,0.04808635282486437
1.0,0.051897952580465,0.048213862715377025
1.0,0.050817423233188233,0.055064825888656611
1.0,0.051897952580465041,0.048213862718842961
1.0,0.051897952580465062,0.048213862713879119
1.0,0.051897952580465069,0.048213862731292405
1.0,0.051897952580464944,0.048213862717823699
1.0,0.050817423268723863,0.048086352825563825
1.0,0.05189795257492838,0.056624768467533823
1.0,0.051897952580465062,0.048213862714274212
1.0,0.051897952580465048,0.048213862724959172
1.0,0.051897952580464979,0.048213862650798738
1.0,0.051897952580464986,0.048213862730340257
1.0,0.051897952580464923,0.048213862731480372
1.0,0.050817423268724002,0.04808635282146613
1.0,0.051897952580464909,0.048213862714046929
1.0,0.051897952580464972,0.048213862728786555
1.0,0.051897952580465027,0.048213862730766589
1.0,0.051897952580464951,0.048213862722832318
1.0,0.050817423268723766,0.048086352825214146
1.0,0.050817423233188365,0.055064825890150708
1.0,0.050817423268723849,0.048086352828135295
1.0,0.051897952580465014,0.048213862715906164
1.0,0.05189795258046493,0.04821386273011561
1.0,0.050817423233188108,0.055064825911177714
1.0,0.050817423233188379,0.055064825903846211
1.0,0.051897952580464965,0.04821386271392096
1.0,0.051897952580464861,0.048213862713657227
