rmse_4f,ari,rmse_all
0.043864148754131069,0.32138159979776737,0.04308774991353187
0.043864148754131076,0.91622659130875883,0.043530727172521676
0.043864148754131117,0.91622659130875883,0.043530727172521641
0.043864148754131103,0.91622659130875883,0.043530727172521641
0.043349817767773302,0.2837675995676186,0.043530727172521669
0.043864148754131124,0.91622659130875883,0.043530727172521641
0.043349817767773288,0.92637531432103526,0.043087749913531877
0.043864148754131041,0.91622659130875883,0.043530727172521669
0.04386414875413109,0.91622659130875883,0.043530727172521676
0.043864148754131041,0.91622659130875883,0.043530727172521648
0.043864148754131103,0.91622659130875883,0.043530727172521641
0.043864148754131076,0.32138159979776737,0.04308774991353187
0.043864148754131117,0.91622659130875883,0.043530727172521634
0.043864148754131083,0.32138159979776737,0.043087749913531904
0.043864148754131103,0.91622659130875883,0.043530727172521662
0.043349817767773351,0.051241751113621052,0.049262247392001156
0.043349817767773337,0.069147850907396613,0.047966412960259268
0.043864148754131096,0.32138159979776737,0.043087749913531891
0.043349817767773323,0.92637531432103526,0.043087749913531904
0.043864148754131096,0.066194146903158391,0.047966412960259254
0.043864148754131062,0.91622659130875883,0.043530727172521648
0.043864148754131131,0.91622659130875883,0.043530727172521627
0.043864148754131096,0.91622659130875883,0.043530727172521599
0.043864148754131083,0.066194146903158391,0.04796641296025924
0.043864148754131034,0.91622659130875883,0.043530727172521641
0.043349817767773358,0.051241751113621052,0.049262247392001177
0.043864148754131062,0.91622659130875883,0.043530727172521634
0.043864148754131083,0.066194146903158391,0.047966412960259268
0.043864148754131034,0.91622659130875883,0.043530727172521641
