ari,rmse_3f,rmse_all
0.88870702307227478,0.40309031744272478,0.37879061692376392
0.88870702307227478,0.40309031744272533,0.37879061692377719
0.88870702307227478,0.40309031744273477,0.37879061692377142
0.88870702307227478,0.40309031744273227,0.37879061692376709
0.13082186426457046,0.44900588031598743,0.37879061692378058
0.13082186426457046,0.44900588031598498,0.3787906169237662
0.88870702307227478,0.40309031744273577,0.37879061692376148
0.0032818867645309571,0.44900588031599803,0.38733508343287609
-0.0013902352005343867,0.4577910881112377,0.4014552336057603
0.040284322241990599,0.40309031744273294,0.39031751160579425
0.88870702307227478,0.4030903174427235,0.37879061692377053
0.88870702307227478,0.40309031744272722,0.37879061692376581
-0.0012095866049588457,0.45779108811124297,0.39956792910582156
0.88870702307227478,0.40309031744272422,0.37879061692376104
0.88870702307227478,0.40309031744273249,0.3787906169237758
0.028252813544041439,0.40309031744273249,0.4008147934267447
0.88870702307227478,0.4030903174427285,0.37879061692376775
0.88870702307227478,0.40309031744272766,0.37879061692377153
0.22129753479468245,0.45779108811122826,0.38733508343286194
0.13082186426457046,0.44900588031599781,0.37879061692376964
0.88870702307227478,0.40309031744273449,0.3787906169237758
0.88870702307227478,0.40309031744272494,0.37879061692376514
0.88870702307227478,0.40309031744272444,0.37879061692376537
0.88870702307227478,0.40309031744272866,0.37879061692376803
0.0039651601513344195,0.44900588031599292,0.39956792910582045
0.045652404197358068,0.44900588031599831,0.40145523360577107
-0.0011459298301010636,0.40309031744273327,0.39956792910582589
-0.0011459298301010636,0.40309031744272988,0.39956792910583133
0.045652404197358068,0.44900588031598587,0.40145523360576235
