0.000,1.000,2.000,3.000,4.000,5.000,6.000,7.000,8.000,9.000,10.000,11.000,12.000,13.000,14.000,15.000,16.000,17.000,18.000,19.000,20.000,21.000,22.000,23.000,24.000,,
-,,,,,,,,,,,,,,,,,,,,,,,,,,
1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.254,1.232,1.232,1.254,1.232,1.254,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.232,1.254,1.232,1.232,1.236,0.008
0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.162,0.206,0.206,0.162,0.206,0.162,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.206,0.162,0.206,0.206,0.199,0.016
-0.145,-0.145,-0.145,-0.145,-0.145,-0.145,-0.145,-0.053,-0.145,-0.145,-0.053,-0.145,-0.053,-0.145,-0.145,-0.145,-0.145,-0.145,-0.145,-0.145,-0.145,-0.145,-0.053,-0.145,-0.145,-0.130,0.035
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-,,,,,,,,,,,,,,,,,,,,,,,,,,
0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.494,0.486,0.486,0.494,0.486,0.494,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.486,0.494,0.486,0.486,0.487,0.003
0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.098,0.071,0.071,0.098,0.071,0.098,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.098,0.071,0.071,0.075,0.010
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
-,,,,,,,,,,,,,,,,,,,,,,,,,,
